source_id,source_name,tier,evidence_type,decision_use,known_limit,review_frequency,owner
S01,ANSSI Panorama,A,institutional_baseline,market_risk_and_country_priority,public_scope_not_full_market_size,annual,market_analysis
S02,Cybermalveillance,A,institutional_assistance_data,demand_pressure_and_threat_mix,assistance_cases_not_buying_intent,annual,market_analysis
S05,NIS2 Directive,A,regulatory,compliance_and_proof_requirements,regulation_not_solution_budget,as_updated,compliance
S06,EU SME Performance Review,A,macro_statistics,segment_sizing_proxy,EU_macro_requires_country_adjustment,annual,finance_strategy
S13,ENISA NIS Investments,A,institutional_survey,talent_and_budget_signal,sample_skew_large_organizations,annual,market_analysis
S14,ENISA NIS360,A,sector_maturity,sector_priority_selection,sector_level_not_account_level,annual,strategy
S16,NIST CSF,A,standard_framework,governance_and_proof_model,not_a_market_size_source,as_updated,compliance
S20,OECD Digital Security,A,policy_framework,risk_management_positioning,policy_not_pricing_source,as_updated,strategy
S21,CCB Belgium,A,institutional_baseline,belgium_country_signal,reported_cases_only,annual,market_analysis
S23,NCSC Switzerland,A,institutional_report,swiss_country_signal,voluntary_reporting_bias,semi_annual,market_analysis
S04,Mandiant M-Trends,B,operational_incident_data,detection_response_assumptions,sample_from_incident_response_clients,annual,product_security
S17,Verizon DBIR,B,incident_pattern_report,attack_pattern_context,global_aggregate_not_local_market,annual,product_security
S03,WEF GCO,B,executive_trends,macro_risk_narrative,high_level_not_product_specific,annual,strategy
S08,Wazuh Pricing,C,public_pricing,open_source_cloud_price_reference,pricing_changes_and_not_full_TCO,quarterly,pricing
S09,Datadog Cloud SIEM,C,public_pricing,event_volume_pricing_reference,usage_cost_depends_on_volume,quarterly,pricing
S27,Microsoft Sentinel Pricing,C,public_pricing,cloud_siem_consumption_reference,calculator_assumptions_vary,quarterly,pricing
S28,Elastic Pricing,C,public_pricing,subscription_reference,packaging_depends_on_deployment,quarterly,pricing
S29,Splunk Pricing,C,public_pricing,enterprise_pricing_reference,quote_based_for_many_cases,quarterly,pricing
S30,Security Onion Docs,C,technical_documentation,open_source_operational_complexity,docs_not_cost_benchmark,semi_annual,product_security
S31,Suricata Docs,C,technical_documentation,network_ids_alternative,component_not_full_solution,semi_annual,product_security
S32,Zeek Docs,C,technical_documentation,network_security_monitoring_alternative,component_not_full_solution,semi_annual,product_security
